Nazwa,Kcal,Bialko,Weglowodany,Tluszcz
"Serek homogenizowany owocowy",111,7,14,3
"Bułka maślana - Dino",371,8.7,55,12
"Małże marynowane",117,18.4,3.6,3.1
"Jogurt kiwi - FruVita",111,3.6,16.8,2.7
"Kalmary mrożonka",175,7.2,22.2,6.3
"Serek kanapkowy kozi ze szczypiorkiem - Delikate",152,8,3,12
"Napój mleczny Mullermilch kokosowy - Muller",73,3.3,11.9,1.4
"Lody na patyku Daim",268,2.6,34.1,13.4
"Chleb górski - Polish Village Bread",223,6.1,40.3,2.7
"Napój Raspberry Passion - Mamma Chia",65,4,15,4.8
"Jogurt Fantasia z orzechami w czekoladzie - Danone",171,3.5,14.5,11.1
"Zapiekanka 4 sery - Tesco",296,11,35,13
"Sok 100% pomidor pikantny - Tymbark",16,0.8,2.2,16
"Ragbrod (Chleb żytni)",259,9,48,3.3
"Sos myśliwski - Knorr",55,1.4,6.3,2.7
"Przyprawa uniwersalna",136,30,40,30
"Jogurt naturalny - Strzałkowo",100,2.7,2.1,9
"Czekolada Cocoacara - Terravita",570,9.8,32,42
"Crunchips ser-cebula - Lorenz",510,5.7,54,29
"Fasola czerwona (konserwa) - Freshona",101,8.1,12,0.6
"Lody Bourbon Vanille",206,2.6,27.1,9.5
"Muffinka śniadaniowa z serka wiejskiego domowej roboty",131,1,11,11
"Zacierki (makaron 2 jajeczny) - Jastrzębski",342,10.7,72.3,1.1
"Twarożek - Danone",91,12.3,1.6,3.9
"Jogurt typu greckiego Brzoskwinia-marakuja - Biedronka",127,2.9,11.7,7.6
"Wafelek Princessa muśnięta czekoladą",535,6.1,57.2,31.3
"Kiełbasa wieprzowa Cumberland Sausage - Sainsbury",150,18.6,12,2.9
"Kawa zbożowa ekspresowa (proszek)",4,0.1,0.9,0.2
"Herbatniki musli z owocami leśnymi",439,7.3,62,17
"Paella Cavabel - Lidl",103,12.5,5.4,3.4
"Policzek wieprzowy",171,17,1,11
"Baton Corny Nussig",432,6.9,63.8,15.3
"Paluszki warzywne marchewka i groszek - Frosta",249,5.9,29,12
"Chleb z amarantusem i lnem bezglutenowy",257,1.9,55,5.2
"Chipsy błonnikowe warzywa",414,8.7,61.3,12.5
"Serdelek drobiowy Bydgoski - Alstar 7",323,11,0,31.5
"Baton Ba! w miodzie - Bakalland",582,15,38,40
"Baton miętowy Frys",430,2,71,15
"Koktajl Smoothie Kiwi Ananas Limetka",52,0.7,11.5,0.1
"Ananas suszony leo",350,0,85,0
"Mieszanka orzechowa - Lidl",461,7.8,52.3,23.6
"'Squeezy' Żel energetyczny",259,0,65,0
"Czekolada gorzka 85% - Moser Roth",599,9.3,20.4,50.2
"Cukierki Groszki - Biedronka",76,1,11,3
"Chleb żytni ze słonecznikiem - Familijna",253,6.2,45.5,6.2
"Ser podpuszczkowy harceński",113,27,0,0.5
"Paluszki w czekoladzie mlecznej z karmelem",487,5.4,67,22
"Ser żółty Jagna - Ceko",360,27,0,28
"Filet z makreli w ziołach",272,21,0,21
"Ryba Buri",165,26.1,0,5.9
"Ser z mleka koziego podpuszczkowy - Lidl",296,15.5,1.6,25.3
"wafle kukurydziane eurowafel",385,8.7,76.5,3.8
"Sałatka tatarska śledziowa - Polarica",162,9.1,2.9,13
"RAW BITE",436,8,53,20
"Baton Brownie - Legal Cakes",244,23,29,4
"Słodzik Stevia naturalnego pochodzenia zielony listek",133,8,33,0
"Ciasteczka błonnikowe owsiane z jabłkiem",324,10,77,2
Mirabelki,45,0.6,11.7,0
"ciastko pyszałki",498,6,63,24
"Granola z malinami, borówkami,sosem truskawkowym i bitą śmietanką",98,2.9,10,5.3
"Chipsy CrunChips Sticks papryka - Lorenz",499,5,56,27
"Baton Flapjack Honey Berry",364,24.4,49.9,9.6
"Koncentrat pomidorowy 30% Aro",101,4.3,19,0
"Crispy chrup marchew na ostro - Crispy Natural",336,5.4,64,2.1
"Ciasteczka owsiane z goją",335,7.1,74.4,0
"Jogurt 7 zbóż z jabłkami i ziarnami zbóż - Bakoma",83,2.6,12.6,2.5
"Makaron premium Pastani Pappardelle z suszonymi pomidorami - Biedronka",364,13,72,2
"Sałatka obiadowa - FullPol",99,0.4,24,0
"Kaszka mleczna waniliowa - Bio HiPP",94,4,13,3
"Żołądek z kurczaka",114,18.2,0.6,4.2
"Kefir naturalny luksusowy - Jogo",53,3.9,4.8,3.9
"Chleb cynamonowy z rodzynkami",287,7,60,6
"Jogurt typu greckiego owoce leśne - Piątnica",94,7,12,2
"Maliny liofilizowane w czekoladzie",531,6.3,59,28.7
"Sałatka grzybowa - Lisner",252,1,8,23
"Napój wieloowocowy o smaku granatu - Coctail Zone",44,0,11,0
"Granola truskawkowa (120g) - Kupiec",440,9.4,63.9,16.3
"Ananas suszony -  Bakkaland",342,0.8,83,0.1
"Korki ze śledzia z cebulką i oliwą z oliwek - SuperFish",224,10,3,19
"Tortilla Wheat Wrap - Turka",310,8.5,52.2,6.9
"Herbata napar z lipy (1 saszetka 1,5 g.) - Herbapol",1,0.5,0.5,0
"Sos Toffi - Dr. Oetker",318,2.4,68.1,4.1
"Mąka żytnia razowa pełnoziarnista - Melvit",348,7.9,74.2,2.2
"Kanapka wegetariańska - Subway",231,9.9,44.9,2.5
"Placki z cukinii i marchewki",102,2.4,8.9,6.4
"Kefir 0% owoce leśne - Tesco",66,3.4,13,0
"Pizza 1kg - Kaufland",155,5,22.7,4.8
"Tortilla orkiszowo-owsiana mała (placek) - Mission",317,9,51,8
"Baton Lion white XL - Nestle",476,5.8,63.4,22
"Czekolada z miodem i migdałami - Toblerone",535,5.6,60.5,29.5
"Czekolada kawowa - Luxima",565,5.4,55,35
"Lody Oskar o smaku jagodowym w białej czekoladzie",166,1.3,16.3,10.6
"Woda z witaminami z Biedronki - Vitalsss",26,0,5,0
"Wołowina ekstra (konserwa)  - Sokołów",164,17,1.3,10
"7 Up Free",2,0,0,0
"Pierogi greckie z fetą",313,7.5,26.8,19.1
"Batonik Access Melaleuca",447,9.3,55,20.1
"Serek wiejski z ananasem - Pilos",153,8,19,5
"Baton mocno orzechowy Peanut Butter - Wawel",564,11,43,38
"Lody Manhattan Ice Dream śmietankowo - jagodowe",193,2.1,23.5,10
"Chleb pełnoziarnisty Pellowski - Piotr i Paweł",230,6.4,45.4,0.9
"Ciastka amarantuski orzechowe Dobra Kaloria",413,13,64,10
"Chipsy Pop Cool Chips Popcorn papryka - Sonko",404,9.2,77.5,6.2
"Chleb żytni z ziarnami - Cymes",323,8.2,54.6,7.4
"Kasza gryczana prażona - Biedronka",348,12.6,63.4,3.1
"Dżem 100% truskawka-czarny bez - Łowicz",138,1,31,1
Rolada,0,0,0,0
"Ogórki kiszone - Victus",10,1,2,0
"Lody jogurtowo - ananasowe",164,2.3,25.2,6
"Cantuccini (ciastka)",427,9.8,62.9,14.1
"Wafle błonnikowe z magnezem w czekoladzie deserowej - Sonko",479,7,59,22
"Deser jogurtowy - Polkrem",133,6,13,7
"Salami with walnuts",489,23,2.5,43
"Dinkelmakaroner KRAV 100% fullkornsmjöl",365,10,67.4,2.2
"Jogurt American Cherry Muffin - Jogobella",108,3.7,16,2.8
"Madero Sos Hamburger Classic",294,1.6,13.6,25.5
"Chipsy kokosowe",736,6.9,24,65
"Twarożek domowy - Koło",109,11,2.7,6
"Baton Wysoki Błonnik Musli z maliną - Good Food",383,4.4,66.3,9.4
"Kurczak w galarecie z sałatką owocową  - Catering Service",71,11,6,1
"Owoce mrożone smoothie mix - Mroźna Kraina",57,1,12,0
"Serek Danio kawowe z kulkami w czekoladzie",132,5.5,16.7,4.7
"Sok Vega prowansalskie zioła - Tymbark",24,0.6,4.3,0.2
"Szynka - Be Good",98,21.1,0.5,1.5
"Śliwka w czekoladzie - First Nice",387,2.5,67,11
"Zupa cebulowa Hortex bez dodatków",13,1,2,0
"Baton musli w polewie czekoladowej - Sante",412,7.6,60,14
"Zupa Pomidorowa z mascarpone i bazylią (po przyrządzeniu) - Knorr",48,1.1,6.3,1.9
"Kanapka Whooper Jr Burger King 152 g",211,8,19,11
Strucla,342,8.2,44,15
"Przecier pomidorowy - Krokus",42,1.5,9,0
"Zupa kalafiorowa z koperkiem - Pamapol",48,1.7,8.4,0.1
"Napój Green Ice Tea - Tymbark",30,0,7.6,0
"Ryż biały - Kuchnia Gosposi",341,7,77,0
"Sos Korma w stylu indyjskim",113,1.1,9.7,7.3
"Płatki owsiane o smaku szarlotki z mlekiem, jabłkami i rodzynkami - NesVita",392,11,68.2,7
"Nescafe  2in1",28,0.2,3.1,1.6
"Baton Milky Way Ameo",512,7.4,63.8,24.9
"Żurawina w czekoladzie",415,1.9,82,8.4
"Ser smażony - Kowalew",220,17,4,15
"Gel SIS double espresso",145,0,37,0
"Ciastka korzenne - Spekulatius",477,6,70,18.7
"Baton Ba! 5 owoców tropikalnych",412,4,70,13
"Chleb tostowy - Vollkornbrot",250,8.5,42,4
"Chleb marchewkowy",210,6.9,32,4.9
"Bułka słodowa",268,7.7,53.7,0.8
"Lody Lion - Nestle",211,2.1,24.5,11.3
"Chleb tygrysi",260,7,47,4
"Kiełbasa Kalkunkorv",168,10,5,12
"Chleb kornelle (Pågen)",260,9.5,40,6
"Kanapka z jajkiem i łososiem",263,10,17,17
"Krajanka burakowa",34,1.2,4,1.2
"Sok tłoczony prosto z jabłek - Hortex",49,0,12,0
"Baton protein",351,33,28,10
"Chipsy marchewkowe",382,1.1,93.4,0.5
"ciastka mini betini",435,7.8,79,9.4
"Wrap z kurczakiem i kukurydzą",167,11.1,21.7,3.8
"Rödbetor - Felix",60,0.8,12,0
"Ryba maślana (wędzona)",262,18,0,20
"Płatki pełnoziarniste pszenne - Sportina Active",370,13,69,2
Aromat,878,0,0,97.4
szejk,101,8,11,3
"Żeberka wołowe duszone (bez kości)",287,25.8,0,20.4
"Pancakes - Tesco",272,6.7,44,7.4
"Krakuski florianki w czekoladzie mlecznej",505,7.9,62,25
"makrela w sosie pomidorowym fit",124,12,2.3,7.4
"Sos bolognese z ziołami - Dawtona",71,1,15.7,0.4
"chilli mix ziarna tesko",561,30,9.4,42.6
"Sos do kalafiora - Knorr",490,15,34,32
"Surówka z ciecierzycy i kaszy bulgar z kurczakiem",80,7,9,2
"Cacao - Magnetic",301,23,12,11
"Jogurt pitny duet Smoothie - Jovi",69,1.6,14,0.8
"Płatki ryżowo-pszenne z truskawkami, malinami i wiśniami (Sante)",356,8.9,76.7,1.5
"Kurczak z ananasem",120,18,3,3
"Deser Satino gold drink kokosowy - Bakoma",92,2.8,11.3,4
"Czarna fasola gotowana (bez soli)",132,8.9,23.7,0.5
"Quiche z brokułami",221,6.9,11.3,16.7
"Zupa szabelkowa z dodatkiem ziemniaków",110,2,17,10
"Przysmak Staropolski - Tarczyński",269,12,2.3,23.5
"Muffin cytrynowe - ICA",420,4.2,51,20
"Zupa Red Curry",62,1,4,5
"Zupa z żółtej papryki",42,0.7,4.3,2.6
"Pizza z szynką, krewetkami i ananasem - Princessa",240,6.5,28.4,11.1
"Bulion Esencja do sosu pieczeniowego ciemnego - Knorr",22,0.8,3.4,0.5
"Serek kanapkowy ze szczypiorkiem - Creamfields",105,6.5,4,7
"Ryż biały - Agrol",338,7,75,1
"Ser topiony jalapenoost - Kavli",220,16,1,17
"Strucel jabłkowy (Apfelstrudel)",242,3,30,12
"Twaróg sernikowy - Pilos",119,11,4,6.5
"Łopatka z sarny (gotowana)",120,23,0,2.4
"Baton Energia - Truders",499,3.7,51,29.8
"Czekolada Studentska z orzechami edycja limitowana - Orion",527,7.5,52.4,30.5
"Smalec roślinny",847,0.3,1.9,93
"Czekolada Choco Jelly - Milka",510,5.6,63,25.5
"Czekolada mleczna - Bellarom",568,6.2,52.7,36.5
"Dinkel vollkornbrot olz",251,9.8,39,4.5
"Czekolada z herbatnikiem",556,7,53,35
"Ciasto jaglane",120,5,25,4
"Sos sałatkowy czosnkowy - Develey",181,0.8,8,15.7
"Granola z kokosem",392,10.4,56.3,10.2
"Rolada z dorsza",91,15,1,2
"Mleko gostynińskie",309,6.4,52,8
"Fibroki tosty",12,1.2,0.5,0.4
"Baton Lion Mini White - Nestle",475,6.1,65.6,20.8
"Maślanka Krasnystaw",50,3.5,4.5,2
"Lody jogurtowe z sorbetem z owoców leśnych",150,2.3,25.3,4
"Herbatniki czekoladowe - Fit & Free",485,9,56,25
"Pasta Aiwar - Rolnik",52,0.8,6.8,3.1
"Falafle w picie z surówką i sosem tahini",228,9.5,32.7,6.4
"Wafle serowe (cieniutkie)",409,14.9,68,7.6
"Sałatka nicejska",175,19,8,9
"Lody Carte d'Or Algida Truskawka Beza",181,2.2,30,5.8
"PRE Sport",231,0,57,0
"Chleb miodowy żytni ze śliwkami",263,5.2,54,1.8
"Sos pieprzowy",100,2,6.1,6.7
"Jogurt typu greckiego 4% 2 x więcej białka - Piątnica",87,8.7,4.1,4
"Parówki wiennerpølser - First Price",215,9,6,17
"Surówka z marchwi i ananasem - Grześkowiak",72,1,18,0
"Burger jaglano-buraczany",116,4.2,20,2.9
"Kuchnie Świata Danie Indyjskie - Bonduelle",79,4.2,6,4.1
"Płoć świeża",112,19,0,4
"lody jak dawniej truskawkowe",187,2.7,25,8.5
"Nasi Goreng - Frosta",100,5.9,13.3,2.3
"Napój vitamin fruit - Oshee",36,0,8.7,0
"Szynka wołowa",106,20.9,1.1,2
"Płatki owsiane z truskawkami - Nesvita",90,2.2,16.6,1.2
"Tortellini z warzywami i sosem pieczarkowym",99,3.1,11,4.3
"Makrela Princes - konserwa",169,13,3.9,11
"Olej z czarnuszki - Olvita",900,0,0,100
"Makaron Pesto",87,3,15,2
"Wędlina sojowa z suszoną żurawiną",175,16,5,10
"Kurczak z cukinią",63,5.6,3.7,2.4
"Jajko sadzone z cukinią",112,6,2,9
"Napój sojowy - Milbona",33,3.1,0.8,1.8
"Groszek zielony mrożony - Eldorado",83,6.4,10.5,0.6
"Herbatniki choco z kremem o smaku czekoladowym",530,6.8,59,30
"Kluski śląskie z mięsem Virtu",159,3.5,29,2.9
"Parówki z indykiem Berlinki - Morliny",240,14,3,19
"Dip paryka i pomidor - Konex Foods",100,1,10,6
"Sos waniliowy milda 12%",207,4.6,18,13
"Ser Apetina light z bazylią i oregano w kostkach - Arla",163,16.5,0.2,10.3
"Płatki owsiane normalne",323,10,65,2.5
"Jabłko pieczone z miodem, orzechami i cynamonem",118,1.1,21.4,3.6
"Pstrąg tęczowy strumieniowy pieczony",130,24.6,0,2.7
"Owsianka forfit z truskawkami i jagodami goji - Mokate",307,9.5,53,5.2
"Czekolada mleczna - Goplana",530,8,56,30
"Pesto zielone - Ponti",531,4,9,53
"Jogurt typu greckiego mango Jovikos - Jovi",122,3.1,12,6
"Kefir naturalny 0% naturalny - OSM Grodzisk",28,3.4,3.5,0.1
"Wafle ryżowe z żytem",378,8.8,76,3
"Maślanka brzoskwiniowa - SM",61,3.1,11,0.5
"Czekolada mleczna bez cukru",496,6.7,53,35
"Pasta z tofu i cebulą - Toppo",326,5,8.7,30.6
"Drażetki czekoladowe - Carrefour",456,4,77,15
"Sos Porto",49,2.3,8.6,0.4
"Mleko Acidofilne - Maćkowy",46,3.5,4.5,1.5
"Kanapka z tuńczykiem - Orlen",311,9,26,19
"Napój energetyczny Energy Drink Mojito Freeway - Lidl",47,0,11.3,0
"Makaron gryczany (nieugotowany)",347,14,68,1.3
"Konina (mięso bez kości)",133,21.4,0,4.6
"Bułka z sezamem do hamburgera - Lantmannen Unibake Poland Sp. z o.o.",286,10,51,4
"Czekolada czarna - Irma",499,6.7,46,30
"Sok marchew-jabłko-brzoskwinia - Vitanella",44,0.3,10,0.1
"Serek homogenizowany Danio malinowy - Danone",112,5,16.2,2.9
"Filety śledziowe w kremowym sosie mango - curry",208,14,9.5,13
"Paluszki rybne z łososia - Biedronka",230,12.6,17,11.9
"Szyneczka z kurczaka - Morliny",116,14.8,1.9,5.5
"Soczewica w słoiku",82,5.6,13,0.4
"Rogalik z nadzieniem orzechowym",456,7,44,28
"Mięso mielone z łopatki wieprzowej - Lidl",175,18,0,12
"Sos grzybowy lidl",60,2.5,11,0
"Sok ananasowy świeży - Cymes",50,0,11,0
"Jogurt do picia - Jovi",69,1.7,13.8,0.8
"Oranżada orangeade sugar free",1,0,1,0
"Czekolada gorzka 70% z malinami",510,3.8,55,29.5
"Makaron razowy Spaghetti Durum Złoty plon - Aldi (nieugotowany)",342,13.5,64,2
"Płatki z teffu",367,13,73,2
"Chleb Koszarowy - Putka",216,5,45,1
"Mąka kokosowa ekologiczna - Symbio",310,19,18,18
"Lody Algida Big Milk Yogurt",156,2.1,26,4.6
"Serek wiejski Cottage Cheese light - Goldessa",77,11,2.8,2.4
"Ser Limburski",265,23,0.5,19
"Baton z twarożku w polewie z suszonymi śliwkami - Vilvi",360,13.4,23.8,23.1
"Wafelki rodzinne o smaku cytrynowym - Tastino",558,7.3,54.6,34.1
"Ser pleśniowy Brie z oliwkami",360,17,1,32
"sante ciastko jęczmienne",443,8,61,17
"Filety śledziowe skandynawskie z pietruszką i jabłkiem",164,12.7,8.7,8.6
"Mix sałat - Delicious Valley",52,3.7,3.2,3.6
"Napój pomarańczowy Solevita (nektar) - Lidl",33,0.3,7.6,0.1
"Ciasteczka otrębusie",448,11,44,24
"Chleb Omega",278,10.9,46.6,4.2
"Sałatka Falafel",150,5.2,17,5.7
"Musli crunchy z orzeszkami i czekoladą",485,11.2,55.4,22.7
"Filety śledziowe po giżycku",308,10,3.4,28.3
"Zupa ogórkowa Thermomix",165,9.1,15.5,8.4
"Sałatka z serem typu śródziemnomorskiego i oliwkami - Vital Fresh",124,4.3,1.2,11
"Musztarda staropolska - Roleski",151,4.1,21,5.3
"Flaki Wołowe - Aldi",33,4.9,1,2.9
"Baton Kasztanek - Wawel",553,6,51,35
"Brzoskwinie w syropie - Vomar",61,0.5,14.2,0.1
"Placki kalafiorowe",67,4,12,1
"Szybki budyń czekoladowy z belgijską czekoladą - Delecta",72,2.2,14,0.5
"Jogurt Onken typu greckiego z rabarbarem i imbirem - Dr. Oetker",119,4,16,3.7
"Serek chomogenizowany chudy - Aldi",66,12,3.9,0.3
"Sok Tropical 100% (nie z koncentratu) - Tesco",47,0.6,10.4,0.1
"Baton rum - Ritter Sport",554,5,53,34
"jogurt pitny FigAnd owoce leśne",86,3.1,15,1.5
"Lody waniliowe z polewą z dodatkiem czekolady - Koral",247,3.4,20,17
"Sos Carbonara Italia - Winiary",86,3.2,6.5,5.2
"Serek z ziołami",177,5,5.5,15
"Bułka rogalik z makiem",331,8.2,59.4,7.2
"Zupa krem z topinamburu - Eat Me",61,1.8,10,1.5
"Jogurt czekoladowy",133,4.2,19.6,3.9
"Filety z makreli w sosie pomidorowym eraryb",91,12,5.8,2.2
"Baton Hanuta",542,7.6,54,31.9
"Kukurydza kolba",86,3.3,18.7,1.4
"Pierogi z owocami Proste Historie",174,4,37,0.7
"Uniekaas kupiony w coop",397,25,0,33
"Tuńczyk w sosie z warzywami - Blue Bay",79,10,5.2,1.9
"Ser Camembert z grzybami leśnymi",350,17.5,0.3,31
"Czekolada Triolade - Milka",545,6,57,31.5
"Baton Musli Bar Raspberry",379,3.7,75.2,6.3
"Ćwiartka kurczaka wędzona",221,19.5,0.6,15.6
"Musztarda - Slotts",180,6.3,21,7
"Chipsy ziemniaczane pieczone",418,4.8,76,10.5
"łosoś dzwonko na parze",228,22.6,0,15.4
"Jogurt z miodem - Zott",94,3.9,13.1,2.5
"Paprykarz - Auchan",179,5.4,10.1,13
"Mieszanka warzyw - Junior Mix - Biedronka",31,0,4,1
"Jogurt Brits Fruit Jambo - Lidl",125,3.1,16.9,5
Gołąb,105,22,1,1
"Burak wiórki odsączony - Dawtona",46,1.6,8.6,0
"Odżywka białkowa scitec new style",297,46,17,3
"Sałatka Rybaka - Salad Story (mała)",139,13.3,8.7,7.1
"Baton zbożowy Choco Rocko",417,6,67,13
"Maca z miodem",382,10.6,81.8,0.8
"Sos pomidorowy Toskański",38,1.4,4.2,1.7
"Kanapka fajita - Subway",327,24.5,47.7,6.8
"Parówki wędzone Jumbos vege 270g - Viana",255,27,5.8,13
"Bułka hot dog francuski pszenny z dodatkiem mąki Graham",237,8.6,49,3.5
"Sałatka śledziowa w sosie meksykańskim",137,7.4,12.8,6.1
"Pomidory w puszce całe  Palazzo - Aldi",22,1.2,3,0.3
"Ser do rwania (paluszki serowe) CHEESTRINGS",304,23,3,23
"Zupa z zacierką",55,1,7,3
"Gyros z piersi kurczaka z sałatką i brązowym ryżem wg. Chodakowskiej",576,41.6,56.4,24.5
"Jogurt sojowy bananowy - Tesco",81,4.3,10.4,2.4
"Serek topiony kiri przekąska",293,8,22,19
"Müsli Proteinowe - MyMüsli",385,44.1,19.2,13.4
"Jogurt 7 zbóż z żurawiną i ziarnami zbóż - Bakoma",83,2.6,12.6,2.5
"Śledź w sosie",280,7,6,28
"Zupa Gazpacho - Lidl",37,1,3,2.2
"kluski lane HENGLEIN",171,6,30,2.6
"Tuńczyk w sosie własnym - BlueBay",102,23,0.5,0.6
"Kisiel rozgrzewający jabłko z cynamonem - Dr. Oetker",60,0,14.6,0
"Paluszki Biscolata Stix",490,8,64,23
"Galaretka maślankowo bananowo truskawkowa",63,3.8,10.6,0.6
"Czekolada - Orion",509,5,58,28
"Ciasto marchewkowe (Carrot Cake) - Hema",335,4,46,14
"Pasek świeżego tuńczyka do sushi",137,23.7,0,4.6
"Sok pomarańczowy - Dizzy",41,0.7,9.2,0.5
"Jogurt Bio - Olma",77,5,4.8,3.2
"Serek wiejski Basic Lätt 0,4% - ICA",70,13,4,0.4
"Łosoś dziki w sosie własnym",132,16,0,7
"Owsianka z kawałkami moreli",374,9.4,69,5.1
"Baton Nut & Almond - Sante",473,12,51,24
"Twaróg Delikatny z miodem - President",129,7,16.4,4
"Ryba z puszki - Lidl",227,13,5.2,17
"Twaróg krajanka chudy - FigAnd",86,17,4.5,0
"Grzyb Rydz (smażony)",313,1,3,33
"Pomysł na rybę w sosie śmietanowym - Winiary",96,10.8,3.8,4.1
"Sok żurawinowy Cranberry - Pfanner",50,0.5,12,0.5
"Bażant tuszka (surowy)",133,23.6,0,3.6
"Wafelki z czekoladą",459,5.6,65.8,18.2
"Kakao ciemne 11-12% tłuszczu (proszek) - Amelia",313,22,12,11
"Herbatniki wielozbożowe z owocami leśnymi - Subites",378,6,66,9
"ciastka sante z MPC",468,10,56,21
"Czekolada mleczna z chrupkami zbożowymi",514,6.8,61.5,26.4
"Chleb grovbrød pełnoziarnisty",242,10.4,38.1,3.8
"Kefir light 0% tłuszczu wanilia, brzoskwinia",60,3,12,0.1
"Krewetki w pomidorach",49,6,4,1
"Dawtona Fasola Pinto",106,5.6,17,0.8
"Ser sałatkowy",203,11.3,3.5,16
"Mieszanka bakaliowa Trial mix Sun Grown - Tesco",423,5.5,42.6,24.6
"Tortilla Twister Orient - KFC",524,14.7,58.2,25.1
"Pasztet angielski",138,10.2,1.4,9.5
"Odżywka białkowa biała czekolada",415,79,9,7
"Zupa ogórkowa (gotowa) - EatMe",64,1,8,4
"Lody Daim",268,2.6,34.1,13.4
"ciastka słoneczniki",444,5.1,66.4,17.1
"Salami wołowe",258,12.6,1.9,22.2
"Chłodnik buraczkowy - Winiary",56,3.5,6.1,1.9
"Falafel - Tesco",268,7.5,25,14
"Makaron ryżowy Rice noodles (ugotowany)",135,2.2,25.9,2.2
"Mieszanka warzywna chińska - Proste Historie",28,2,4,1
"morliny kiełbasa śląska",299,11,3,27
"Chrupiące plasterki pomidora z oregano i bazylią - Vitanella",65,3,9.3,0.6
"Chipsy z buraków",44,1.7,10.3,0.2
"Baton energetyczny Voltage - Nutrend",422,8,59.3,16.2
"Nescafe Dolce Gusto Cafe au lait dolce gusto (kapsułki) - Nestle",22,21.1,29.4,20
"Lody Algida śmietankowa Trio Neapolitana",160,2.5,24,5
"Makaron glutenowy (ugotowany)",171,1.5,40.6,0.5
"Piotrosz filet",84,18,0,1
"Baton musli z bananem i mleczną czekoladą",333,3.5,60.7,9.8
"Jogurt Fantasia black - Danone",150,4,16,8
"Yammy day Croissant orzechowe",460,7,44,28.8
"Serek kanapkowy twarogowy ze szczypiorkiem - Goldessa",285,8,3,27
"Whisky Passport",220,0,0,0
"Makrela w oleju rzepakowym (konserwa)",303,15,0,27
"Margaryna Palma z Netto 250g",676,1,1,75
"Tarta jajeczna",157,10,13,7
"Masło so light - Balade",214,0.3,8.1,20
"Kefir naturalny Konecki - OSM w Końskich",51,3.4,4.7,2
"Ryż basmati - Carrefour",347,8.9,75,0.7
"Szynka wędzona bez laktozy",102,19,1.2,2.3
"Salami w stylu francuskim - Pikok",399,24.7,3,32
"Baton proteinowy z nadzieniem archaidowym o smaku waniliowym",510,27,29.9,29.6
"Papryka serrano",32,1.7,6.7,0.4
"Baton musli z owocami i orzechami",417,11,51,22.4
"Baton Musli chocolate - Nestle",377,8.9,66.6,10.2
"Ser Mozzarella forte",244,19,0.4,18.5
"Salateria Lisner sałatka ziemniaczana z boczkiem",271,3.1,12.2,23.1
"Jogurt polski malina - Mlekovita",92,2.8,14.6,2.5
"Udo z kurczaka - Lidl",178,19,0,11
"Kasza Kuskus orkiszowa (nieugotowana)",349,15,64,3
"Lody Strawberry Cheesecake - Haagen-Dazs",235,3.4,26.1,12.9
"Pita - Biedronka",303,8,47,8.6
"Czekolada mleczna wiśniowa - First Nice",510,4.4,57,29
"fruvita napuj jogurtowy marakuja papaj",68,1.7,13,0.8
"Wafle śmietankowe - Skawa",513,5.6,66,25
"Napój kawowy Latte Macchiato Light - Lidl",44,2.9,6.1,0.8
"Szynka Presunto",234,28.2,1,13.5
"Lody Banana Split",205,3.7,30.3,7.1
"Baton 3 Bit XXL kawa z mlekiem",525,5.3,62.5,28
"Płatki pszenne Wheat Flakes",304,12,56,1.6
"Kanapka ze śniadania",211,11.3,25.3,8.6
"Makaron cienkie rurki (niemiecki) - Aldi",361,13,70,2.5
"Daktyle świeże - Medjool",277,1.8,75,0.2
"Tortilla de patatas ze szpinakiem",128,5,8,8
"Placuszki ryżowe",154,6,21.4,5.7
"Zupa brokułowa (po przyrządzeniu) - Winiary",30,1.4,5.6,0.1
"Mleko UHT 0,5% - Tesco",36,3.2,4.7,0.5
"Zupa z galaretki z kurczaka",24,2.7,1,0.8
"sok karotka + jabłko,marchew, malina, aloes",45,0.5,9.8,0.5
"Wafelek Grześki bananowe",539,10.9,56,30.1
"Lody toffi Big Milk (polewa toffi)",280,2.5,26,18
Cantuccini,450,10,66,16
"Kanapka McMuffin® Wieprzowy DeLuxe - McDonald's",229,10.7,17,12.8
"Jogurt tarta z malinami",126,2.7,14.8,6.2
"Omlet z twarogiem",150,11.1,7.7,9.4
"Baton czekoladowy w mlecznej czekoladzie - Smart Food",369,36,22.4,13
"Pierogi ruskie Value - Tesco",202,6.1,39,2.2
"Zakąska serowa wędzona",280,26.8,0.7,18.7
"Makaron pszenny lubelski gniazda - Lubella",351,13,70,1.4
"Jogurt Jogobella Regularis suszona śliwka - Zott",96,3.7,14.9,2.4
"Serek homogenizowany z truskawkami - Milbona",120,4.4,16,4.2
"Jogurt duo z kulkami w czekoladzie - FruVita",162,4.2,16.1,9
"czekolada do picia z bita śmietaną",126,3.1,17.9,5
"Twaróg Kvarg Laktosfri 0,1%",50,9.7,3.8,0.1
"Dżem truskawkowy niskosłodzony Mirella - Milejów",139,0,34,0
"Jogurt wyśmienity truskawkowy",94,2.4,15.4,2.5
"Sok warzywno owocowy czarna marchew-jabłko-wiśnia - Vitanella",40,0.3,8.7,0.5
"Chrupki o smaku zielona cebulka - Przysnacki",502,7.4,57,27
"Pizza Farfalle di Concretto - Pizza Hut",165,12,20,6
